Date,Soybean FOB Brazil $/mt,Soybean CFR China $/mt,Soybean FOB US Gulf $/mt,Soybean FOB US PNW $/mt,Soybean CIF US Gulf Barge $/mt,Soybeans @S@A,Nola Basis,Santos Basis,Close(DRYP-DVTDLC-GRA),Close(DRYP-PDXDLC-GRA),Close(DRYP-PNGDLC-GRA),Close(DRYP-PNGDLC2-GRA)
4/18/19,336.5,366.25,334,351.25,328.5,8.81,23,38,38.9,21.9,41.3,32.5
4/17/19,342.5,368.5,341.25,358,335.5,8.79,21,33,38.7,21.8,41.1,32.5
4/16/19,342,371.5,341.25,358,335.5,8.88,18,36,38.4,21.7,40.8,32.1
4/15/19,344.75,373.25,344,360.5,338,8.99,21,36,38.3,21.6,40.6,32.0
4/12/19,347.5,369,348.25,364.75,341.75,8.95,20,33,37.9,21.4,40.2,31.8
4/11/19,345.5,368.25,346.75,363.5,340.25,8.95,21,34,37.9,21.5,40.2,31.6
4/10/19,345.75,371.75,347.25,364.75,340.25,9.02,22,31,37.9,21.4,40.2,31.6
4/9/19,346.25,371,350.5,367,343.5,8.99,25,35,38.0,21.5,40.3,31.8
4/8/19,349.5,372.25,350.25,370.5,343.25,8.99,21,38,38.0,21.6,40.3,31.9
4/5/19,349.75,373,350.5,370,342.75,8.99,23,43,38.2,21.7,40.6,31.9
4/4/19,349.75,,349.5,369,341.75,9.07,23,44,38.4,21.8,40.7,32.1
4/3/19,353.75,375.25,352.25,371.75,345,8.99,24,44,38.2,21.8,40.5,32.0
4/2/19,350.5,374.75,349,368.5,341.75,9.00,22,46,38.0,21.6,40.3,31.7
4/1/19,351.25,373,350.25,368.25,342.5,8.96,26,46,37.7,21.5,39.9,31.6
3/29/19,350.5,370,349.5,366.75,342,8.84,13,35,37.5,21.4,39.7,31.3
3/28/19,344,370.5,341,359,336.25,8.90,15,43,37.3,21.3,39.5,31.0
3/27/19,343.25,369.75,342.5,356.75,338.75,8.88,20,39,37.0,21.0,39.1,30.7
3/26/19,341.25,374.75,342,355,338,9.01,35,41,36.6,20.9,38.6,30.5
3/25/19,348.75,378.5,349,360.5,344.75,9.07,38,41,36.5,20.8,38.6,30.0
3/22/19,351.25,378.75,350.25,361.5,346.75,9.04,35,45,36.5,20.8,38.6,30.1
3/21/19,348.25,381.5,349.5,360.5,345.75,9.11,36,45,36.2,20.6,38.3,29.9
3/20/19,351.75,380.25,351.75,362.25,348,9.06,34,47,35.6,20.2,37.6,29.4
3/19/19,352.25,377.75,349.75,362,347.25,9.04,42,45,35.1,19.9,37.0,28.9
3/18/19,352,377.75,349.75,360.75,347.25,9.06,45,46,34.9,19.7,36.8,28.6
3/15/19,352.75,381,351,361.75,348,9.09,48,47,34.6,19.6,36.5,28.4
3/14/19,354.25,376,351.75,362.25,348.75,8.99,44,78,34.3,19.3,36.1,27.9
3/13/19,352.75,375.5,351,360,346.5,9.01,42,51,33.9,19.1,35.6,27.8
3/12/19,352,372.25,351,360,346.25,8.97,40,51,33.8,19.2,35.5,27.9
3/11/19,350.25,369.75,349.5,358.5,344.25,8.90,38,47,34.0,19.3,35.7,27.8
3/8/19,347.5,371,347.5,356,343.5,8.96,40,42,34.5,19.5,36.3,28.0
3/7/19,348,374,346.75,356.75,343.25,9.03,41,43,34.8,19.7,36.6,28.6
3/6/19,351.75,374.75,352,360.5,348,9.02,37,45,34.6,19.7,36.4,28.6
3/5/19,351,379.5,349.5,359,345.5,9.14,34,#N/A,34.7,19.6,36.6,28.2
3/4/19,,379.5,354.25,365.25,349.5,9.16,35,#N/A,34.5,19.4,36.3,28.3
3/1/19,,379.5,355.75,366.75,351,9.12,47,50,34.1,19.2,35.9,28.0
2/28/19,349.75,376.25,346.75,357.5,345.5,9.10,60,29,33.7,19.0,35.4,27.5
2/27/19,352.75,376.75,351.25,360.5,350.25,9.17,60,38,33.1,18.7,34.7,27.0
2/26/19,355.25,378,354.25,360.5,354.25,9.17,55,42,32.8,18.5,34.3,26.5
2/25/19,354.75,380.75,351.75,360.5,349.5,9.12,50,57,32.7,18.4,34.2,26.3
2/22/19,359,385.75,355.25,364.75,354,9.10,50,60,32.5,18.2,34.0,26.2
2/21/19,362.5,384.75,353,364.75,352,9.11,43,72,32.2,18.2,33.7,26.1
2/20/19,361.25,383.25,352.25,364.25,351,9.03,43,69,32.2,18.1,33.6,26.0
2/19/19,358.75,380.25,348.5,360.25,344,9.01,38,71,32.1,18.1,33.6,25.9
2/18/20,349,384.25,345.75,357.25,342.75,8.92,56,69,30.3,17.0,31.2,22.4
2/15/19,,382.75,,,,9.08,40,59,31.9,18.0,33.3,25.6
2/14/19,360,378.5,349.75,361.25,346.5,9.04,40,81,31.5,17.9,32.8,25.6
2/13/19,358.25,380.5,348.75,360,345.75,9.17,35,54,31.4,17.9,32.8,25.2
2/12/19,362.75,378,351.75,364.5,349.5,9.18,34,41,31.2,17.8,32.5,25.2
2/11/19,360.5,374.75,350.25,364.25,348.25,9.05,33,71,31.2,17.8,32.4,25.0
2/8/19,355.75,377,346.25,360,344.25,9.15,33,67,31.3,17.8,32.6,24.9
2/7/19,359.25,,349.75,363.5,348,9.13,32,61,31.1,17.7,32.4,25.0
2/6/19,357.5,,350.25,364.75,347.25,9.22,31,47,31.1,17.6,32.4,24.8
2/5/19,361.25,,352.75,368.25,350.25,9.20,30,49,31.1,17.5,32.3,24.9
2/4/19,358.5,,350.25,366,349.5,9.19,30,47,30.7,17.5,31.8,24.8
2/1/19,359.75,,353.75,367.5,350.25,9.18,30,48,30.9,17.5,32.1,24.4
1/31/19,360.5,379.5,355.25,368.25,349,9.15,30,50,30.9,17.5,32.1,24.7
1/30/19,356.5,380,345.75,358.5,346.25,9.21,27,38,31.4,17.8,32.6,25.3
1/29/19,356.5,378,345,358,346.5,9.19,25,39,31.5,17.9,32.8,25.3
1/28/19,356.5,378,344.75,358.25,346.5,9.23,23,38,32.1,18.2,33.5,25.6
1/25/19,356,377.75,346.75,360.5,346.5,9.25,26,27,32.6,18.5,34.0,26.3
1/24/19,357.25,375.25,346.75,360.75,346.75,9.16,23,37,33.2,18.8,34.7,26.9
1/23/19,351.75,374.75,343.25,358.25,343.5,9.15,22,49,33.8,19.1,35.4,27.5
1/22/19,350.25,372.25,341.75,357.5,342.5,9.09,21,49,34.5,19.5,36.1,28.2
1/21/19,349.5,373.75,342,358,342.75,#N/A,#N/A,#N/A,34.8,19.7,36.5,28.5
1/18/19,,372.25,,,,9.17,16,72,34.9,19.7,36.5,28.7
1/17/19,350.25,366.75,344.25,358.5,342.75,9.08,16,8,35.0,19.8,36.7,28.7
1/16/19,344.25,362.75,341.25,358.5,340,8.95,19,39,35.5,20.1,37.2,28.9
1/15/19,338.75,364.25,336.25,353.5,334.75,8.93,19,49,35.8,20.3,37.6,29.3
1/14/19,339.25,369.75,336.5,353.75,337,9.04,25,55,36.0,20.3,37.8,29.5
1/11/19,345.5,372.5,340,358.5,339.5,9.10,20,47,36.2,20.4,38.1,29.8
1/10/19,349.5,379.5,344.75,362,342.5,9.07,19,67,36.7,20.7,38.6,30.3
1/9/19,348.25,384,342.75,360,340.5,9.24,18,51,36.6,20.9,38.5,30.8
1/8/19,355,384.25,349.5,367,347.5,9.19,21,60,36.9,20.8,38.7,30.7
1/7/19,353,385.5,348.25,364.75,346.75,9.24,23,43,37.6,21.6,39.5,31.0
1/4/19,355,386.25,350.5,365.5,349,9.22,26,40,37.8,21.8,39.8,31.5
1/3/19,354.25,384,349,366.75,346.75,9.13,23,45,37.5,22.0,39.4,31.6
1/2/19,350.25,378.5,345,362.75,342.75,9.07,23,34,37.9,22.0,39.9,31.2
12/28/18,350.5,374,347.25,364.5,342,8.96,30,39,38.8,22.3,41.0,31.8
12/27/18,346.5,373,340.5,358.5,338.75,8.83,30,63,38.8,22.3,40.9,32.3
12/21/18,343.25,375.5,335.5,353.5,333.25,8.85,29,85,38.8,22.6,40.9,32.1
12/20/18,351.75,383.5,342.5,361.25,340,8.94,30,91,39.4,23.0,41.5,32.8
12/19/18,351,382.75,342.75,361.25,342.5,9.00,29,83,39.9,23.1,42.2,33.1
12/18/18,352,385.75,345.75,363.75,344,9.08,32,76,40.3,23.3,42.7,33.4
12/17/18,355.25,385.5,349,362.75,345,9.05,20,71,40.4,23.4,42.8,33.9
12/14/18,353.75,385.75,346.75,357.5,343.25,9.01,20,75,40.3,23.3,42.7,33.8
12/13/18,353.5,383.5,346.5,357.25,342.75,9.07,20,73,40.1,23.3,42.5,33.6
12/12/18,355.25,390.25,349,359,344.25,9.20,16,59,40.2,23.2,42.6,33.6
12/11/18,357.25,390.5,351,364.25,345.75,9.15,12,51,40.6,23.4,43.1,34.0
12/10/18,356,388.75,347.5,358.5,343.5,9.10,12,64,40.6,23.6,43.1,34.4
12/7/18,359,390.5,346.5,358,343.25,9.17,15,69,41.0,23.6,43.5,34.2
12/6/18,360.75,392.5,348.25,357.75,344.75,9.10,14,88,41.2,23.8,43.8,34.6
12/5/18,360.5,391.25,345.5,355.75,342.5,9.14,12,79,41.3,23.9,44.0,34.7
12/4/18,362,396.5,346.75,357.25,343.5,9.12,12,89,41.1,23.9,43.7,35.0
12/3/18,361.5,395,344.75,355,341.25,9.06,11,118,40.6,23.6,43.1,34.6
11/30/18,364.5,401.5,344,354.25,339.5,8.95,11,123,40.7,23.7,43.2,34.1
11/29/18,366,401.25,334.25,344.75,333.75,8.87,13,93,40.5,23.7,43.0,34.2
11/28/18,365.5,398.25,334,342.5,333.25,8.91,13,124,40.5,23.7,43.0,34.0
11/27/18,366.75,395.25,335,343.5,334.25,8.76,12,137,40.3,23.5,42.8,33.7
11/26/18,364.25,395,332.25,339.25,330,8.62,13,127,40.6,23.7,43.2,33.7
11/23/18,359.75,398,327.75,334.75,326,8.81,13,120,40.4,23.6,43.0,34.1
11/22/18,364.75,398.75,332.25,340,330.75,#N/A,#N/A,#N/A,40.4,23.5,42.9,34.1
11/21/18,,398.75,,,,8.83,15,110,40.6,23.6,43.2,34.1
11/20/18,371.5,405.75,333.25,341,333.75,8.81,20,100,41.1,23.8,43.8,34.4
11/19/18,371.75,408.5,333.75,339.5,334,8.74,20,128,41.3,23.9,44.1,34.9
11/16/18,371,414,331,335,328.75,8.92,19,156,41.5,24.0,44.2,35.2
11/15/18,377,418.5,338.75,342.75,336.25,8.89,23,#N/A,41.5,24.1,44.3,35.3
11/14/18,,419.5,335.5,340,335,8.84,25,130,42.2,24.3,45.2,35.4
11/13/18,374.5,419.25,333,338.5,333.75,8.78,26,137,42.9,24.6,46.0,36.1
11/12/18,377.25,423.25,332.25,337.75,331.75,8.83,20,206,42.2,24.5,45.1,36.6
11/9/18,382.25,421.75,333.25,338.75,333,8.87,20,145,42.6,24.6,45.7,35.9
11/8/18,377.75,419,333,337.75,333.75,8.79,25,224,42.8,24.6,45.8,36.4
11/7/18,386.5,427.25,326,330.75,326,8.80,18,250,42.8,24.7,45.8,36.5
11/6/18,399.75,439.75,331,335.75,330,8.84,13,239,42.9,24.7,45.9,36.6
11/5/18,405.25,440.5,333.25,338,331.5,8.86,12,139,43.1,24.7,46.2,36.6
11/2/18,412.25,445.25,335,340,334.75,8.88,12,#N/A,43.2,24.7,46.4,36.8
11/1/18,,446.75,334,337.75,332.5,8.82,11,83,43.4,24.8,46.6,37.0
10/31/18,412.75,432.75,332.5,336.25,330.75,8.52,22,226,43.4,24.8,46.6,37.2
10/30/18,397.5,431.25,317,324.75,314.5,8.47,21,254,43.5,24.9,46.7,37.3
10/29/18,399,436.25,317,324.5,314.25,8.39,21,266,43.9,25.0,47.1,37.6
10/26/18,400.25,438.75,318.5,327.5,316,8.45,20,260,44.1,25.1,47.4,38.0
10/25/18,405.25,439,322,330.75,319.25,8.42,19,259,44.7,25.4,48.1,38.4
10/24/18,403.5,441.75,320,330.75,318.25,8.50,20,271,44.9,25.8,48.3,39.0
10/23/18,411.25,444.25,323.25,334,321.5,8.58,20,272,45.7,26.2,49.3,39.2
10/22/18,413.75,446.75,326,336.5,322.5,8.59,23,280,45.9,26.4,49.5,40.0
10/19/18,417,446.5,327,331.5,324.5,8.57,24,280,46.1,26.5,49.7,39.9
10/18/18,417.75,449,327.75,332.25,326,8.64,22,272,46.3,26.7,49.9,40.0
10/17/18,417,449,328.75,333.25,327.5,8.86,20,268,46.3,26.6,49.9,40.1
10/16/18,426.5,459,337.75,342.75,335.5,8.85,17,272,46.4,26.5,50.0,40.0
10/15/18,423,457.5,334.25,340,332.5,8.92,15,280,46.0,26.4,49.6,40.0
10/12/18,425.5,459.75,337,342.5,334,8.68,17,#N/A,46.3,26.3,49.9,39.7
10/11/18,,,328.5,334,326,8.58,16,278,46.3,26.3,49.9,39.9
10/10/18,417.5,451.75,325.5,329.25,322.5,8.52,17,289,46.0,26.1,49.6,39.8
10/9/18,416.75,451.25,322,326.75,319.25,8.63,17,293,45.6,26.0,49.2,39.7
10/8/18,421.5,456,325.25,331.5,324,8.70,7,295,45.9,26.2,49.5,39.4
10/5/18,423,456,329.25,334.75,326.25,8.69,6,285,45.8,26.1,49.4,39.6
10/4/18,420.75,451.75,329.25,335.5,325.25,8.59,5,281,45.2,26.0,48.7,39.4
10/3/18,420,452,329.5,334.75,323.25,8.62,5,282,44.8,25.6,48.2,38.8
10/2/18,420.25,453.25,330,340.5,323.25,8.66,5,281,44.8,25.6,48.2,38.7
10/1/18,417,451,329.5,338,322.5,8.58,#N/A,#N/A,44.9,25.6,48.3,38.8
